Issue Key,Issue Name,Issue Type,Components,Total Worklog Time (hours),Time in Done (hours),Time in In Progress (hours),Time in Review (hours),Time in Testing (hours),Time in To Do (hours),Transitions from Done,Transitions from In Progress,Transitions from Review,Transitions from Testing,Transitions from To Do
YIAM-125,QA,Task,,122.51666666666665,0,0,0,0,0,0,0,0,0,1
YIAM-123,iOS - Create your interest - popup nezmizí + duplikace,Bug,,2.0,0,0.7735483333333333,1.1594805555555556,66.96016861111111,0,0,1,1,1,1
YIAM-122,iOS - Onboarding - search anuluje vybrané zájmy,Bug,,1.75,0,0.7736072222222222,1.1594769444444446,75.55473611111111,0,0,1,1,1,1
YIAM-121,iOS - Onboarding - bez internetového připojení,Bug,,0.75,0,0.7734016666666667,1.159538888888889,66.82362777777777,0,0,1,1,1,1
YIAM-119,iOS - Login/Sign-up - Terms of Use - nemá validní link,Bug,,0,0,0.002291944444444444,0,0,0,0,1,0,0,1
YIAM-118,iOS - Darkmode - rozbije app,Bug,,0.25,0,0.7764441666666667,1.1587675,66.79238277777777,0,0,1,1,1,1
YIAM-117,iOS - Seznam UI bugů na malém iphone 8/SE2,Bug,,0,0,0,0.0005294444444444445,0.0004894444444444445,0,0,0,1,1,1
YIAM-116,Project setup: iOS - Twilio,Sub-task,iOS,20.0,0,78.73417972222222,258.7765791666667,0.001388888888888889,0,0,1,1,1,1
YIAM-115,Produkcia - BE,Sub-task,BE,19.0,0,1.3797927777777776,0.00038222222222222216,111.96604666666666,0,0,1,1,1,1
YIAM-113,Produkcia,Story,,0,1013.8972705555556,0,0.0006155555555555556,0.0003338888888888889,0,1,0,1,1,1
YIAM-114,Produkcia - iOS,Sub-task,iOS,8.5,0,292.5668411111111,77.38587166666666,615.4032755555555,0,0,1,1,1,1
YIAM-112,Meet-up QR: iOS - Deeplink (TBD),Sub-task,iOS,15.75,0,48.95074027777778,0.0067333333333333325,28.49385472222222,0,0,1,1,1,1
YIAM-111,Meet-up QR: iOS - BE,Sub-task,iOS,4.0,0,26.80445388888889,123.15937611111111,28.50222972222222,0,0,1,1,1,1
YIAM-110,Meet-up QR: iOS - UI,Sub-task,iOS,4.5,0,26.80491861111111,123.15837361111112,28.503267222222224,0,0,1,1,1,1
YIAM-108,Options: iOS - UI,Sub-task,iOS,0,0,0.0016405555555555555,48.73471027777778,154.42298083333336,0,0,1,1,1,1
YIAM-109,Options: iOS - BE,Sub-task,iOS,2.5,0,0.0014991666666666667,126.12034416666667,77.03809861111112,0,0,1,1,1,1
